"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_critical_login","tests.pytest","2026-07-30","passed","2026-07-30","","test_pytest_markers","",""
"","0","test_logout","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","23","Get file","LMS service","2026-07-30","passed","2026-07-30","Get entity","Files","",""
"","651","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","12","Get user me","LMS service","2026-07-30","passed","2026-07-30","Get entity","Users","",""
"","13","Get file with incorrect file id","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","28","Create course","LMS service","2026-07-30","passed","2026-07-30","Create entity","Courses","",""
"","126","Create file","LMS service","2026-07-30","passed","2026-07-30","Create entity","Files","",""
"","283","Update course","LMS service","2026-07-30","passed","2026-07-30","Update entity","Courses","",""
"","264","Create exercise","LMS service","2026-07-30","passed","2026-07-30","Create entity","Exercises","",""
"","257","Login with correct email and password","LMS service","2026-07-30","passed","2026-07-30","Login","Authentication","",""
"","256","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","259","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","0","test_forgot_password","tests.pytest","2026-07-30","passed","2026-07-30","TestUserInterface","test_pytest_markers","",""
"","0","test_login","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","14","Get exercise","LMS service","2026-07-30","passed","2026-07-30","Get entity","Exercises","",""
"","12","Get exercises","LMS service","2026-07-30","passed","2026-07-30","Get entities","Exercises","",""
"","21","Delete file","LMS service","2026-07-30","passed","2026-07-30","Delete entity","Files","",""
"","20","Create file with empty directory","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","33","Update exercise","LMS service","2026-07-30","passed","2026-07-30","Update entity","Exercises","",""
"","21","Create file with empty filename","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","27","Delete exercise","LMS service","2026-07-30","passed","2026-07-30","Delete entity","Exercises","",""
"","268","Get courses","LMS service","2026-07-30","passed","2026-07-30","Get entities","Courses","",""
"","0","test_password_reset","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","0","test_regression_case","tests.pytest","2026-07-30","passed","2026-07-30","","test_pytest_markers","",""
