"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_logout","tests.pytest","2026-08-02","passed","2026-08-02","TestUserAuthentication","test_pytest_markers","",""
"","560","Login with correct email and password","LMS service","2026-08-02","passed","2026-08-02","Login","Authentication","",""
"","0","test_login","tests.pytest","2026-08-02","passed","2026-08-02","TestUserAuthentication","test_pytest_markers","",""
"","16","Get file with incorrect file id","LMS service","2026-08-02","passed","2026-08-02","Validate entity","Files","",""
"","13","Get file","LMS service","2026-08-02","passed","2026-08-02","Get entity","Files","",""
"","18","Get exercises","LMS service","2026-08-02","passed","2026-08-02","Get entities","Exercises","",""
"","22","Create exercise","LMS service","2026-08-02","passed","2026-08-02","Create entity","Exercises","",""
"","1","test_regression_case","tests.pytest","2026-08-02","passed","2026-08-02","","test_pytest_markers","",""
"","272","Create file with empty filename","LMS service","2026-08-02","passed","2026-08-02","Validate entity","Files","",""
"","525","Create user","LMS service","2026-08-02","passed","2026-08-02","Create entity","Users","",""
"","20","Create file with empty directory","LMS service","2026-08-02","passed","2026-08-02","Validate entity","Files","",""
"","37","Create course","LMS service","2026-08-02","passed","2026-08-02","Create entity","Courses","",""
"","544","Create user","LMS service","2026-08-02","passed","2026-08-02","Create entity","Users","",""
"","22","Delete exercise","LMS service","2026-08-02","passed","2026-08-02","Delete entity","Exercises","",""
"","15","Get user me","LMS service","2026-08-02","passed","2026-08-02","Get entity","Users","",""
"","292","Create user","LMS service","2026-08-02","passed","2026-08-02","Create entity","Users","",""
"","0","test_critical_login","tests.pytest","2026-08-02","passed","2026-08-02","","test_pytest_markers","",""
"","53","Update exercise","LMS service","2026-08-02","passed","2026-08-02","Update entity","Exercises","",""
"","0","test_forgot_password","tests.pytest","2026-08-02","passed","2026-08-02","TestUserInterface","test_pytest_markers","",""
"","35","Get courses","LMS service","2026-08-02","passed","2026-08-02","Get entities","Courses","",""
"","24","Delete file","LMS service","2026-08-02","passed","2026-08-02","Delete entity","Files","",""
"","18","Get exercise","LMS service","2026-08-02","passed","2026-08-02","Get entity","Exercises","",""
"","0","test_password_reset","tests.pytest","2026-08-02","passed","2026-08-02","TestUserAuthentication","test_pytest_markers","",""
"","59","Create file","LMS service","2026-08-02","passed","2026-08-02","Create entity","Files","",""
"","41","Update course","LMS service","2026-08-02","passed","2026-08-02","Update entity","Courses","",""
