"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","584","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","0","test_forgot_password","tests.pytest","2026-07-30","passed","2026-07-30","TestUserInterface","test_pytest_markers","",""
"","317","Get exercise","LMS service","2026-07-30","passed","2026-07-30","Get entity","Exercises","",""
"","15","Get exercises","LMS service","2026-07-30","passed","2026-07-30","Get entities","Exercises","",""
"","12","Get user me","LMS service","2026-07-30","passed","2026-07-30","Get entity","Users","",""
"","0","test_logout","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","17","Get file","LMS service","2026-07-30","passed","2026-07-30","Get entity","Files","",""
"","33","Create course","LMS service","2026-07-30","passed","2026-07-30","Create entity","Courses","",""
"","21","Delete file","LMS service","2026-07-30","passed","2026-07-30","Delete entity","Files","",""
"","22","Delete exercise","LMS service","2026-07-30","passed","2026-07-30","Delete entity","Exercises","",""
"","27","Update course","LMS service","2026-07-30","passed","2026-07-30","Update entity","Courses","",""
"","324","Create exercise","LMS service","2026-07-30","passed","2026-07-30","Create entity","Exercises","",""
"","24","Create file with empty filename","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","25","Get courses","LMS service","2026-07-30","passed","2026-07-30","Get entities","Courses","",""
"","0","test_login","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","18","Create file","LMS service","2026-07-30","passed","2026-07-30","Create entity","Files","",""
"","597","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","15","Get file with incorrect file id","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","0","test_regression_case","tests.pytest","2026-07-30","passed","2026-07-30","","test_pytest_markers","",""
"","0","test_password_reset","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","300","Create file with empty directory","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","319","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","0","test_critical_login","tests.pytest","2026-07-30","passed","2026-07-30","","test_pytest_markers","",""
"","624","Login with correct email and password","LMS service","2026-07-30","passed","2026-07-30","Login","Authentication","",""
"","321","Update exercise","LMS service","2026-07-30","passed","2026-07-30","Update entity","Exercises","",""
