"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Login with correct email and password","LMS service","2026-07-30","passed","2026-07-30","Login","Authentication","",""
"","27","Create file with empty directory","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","32","Get courses","LMS service","2026-07-30","passed","2026-07-30","Get entities","Courses","",""
"","290","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","303","Update course","LMS service","2026-07-30","passed","2026-07-30","Update entity","Courses","",""
"","285","Get exercise","LMS service","2026-07-30","passed","2026-07-30","Get entity","Exercises","",""
"","292","Create exercise","LMS service","2026-07-30","passed","2026-07-30","Create entity","Exercises","",""
"","30","Delete file","LMS service","2026-07-30","passed","2026-07-30","Delete entity","Files","",""
"","0","test_critical_login","tests.pytest","2026-07-30","passed","2026-07-30","","test_pytest_markers","",""
"","0","test_login","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","0","test_logout","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","15","Get file with incorrect file id","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","531","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","24","Update exercise","LMS service","2026-07-30","passed","2026-07-30","Update entity","Exercises","",""
"","23","Delete exercise","LMS service","2026-07-30","passed","2026-07-30","Delete entity","Exercises","",""
"","267","Create file","LMS service","2026-07-30","passed","2026-07-30","Create entity","Files","",""
"","269","Get user me","LMS service","2026-07-30","passed","2026-07-30","Get entity","Users","",""
"","0","test_forgot_password","tests.pytest","2026-07-30","passed","2026-07-30","TestUserInterface","test_pytest_markers","",""
"","0","test_regression_case","tests.pytest","2026-07-30","passed","2026-07-30","","test_pytest_markers","",""
"","532","Create user","LMS service","2026-07-30","passed","2026-07-30","Create entity","Users","",""
"","0","test_password_reset","tests.pytest","2026-07-30","passed","2026-07-30","TestUserAuthentication","test_pytest_markers","",""
"","14","Get file","LMS service","2026-07-30","passed","2026-07-30","Get entity","Files","",""
"","30","Create file with empty filename","LMS service","2026-07-30","passed","2026-07-30","Validate entity","Files","",""
"","20","Get exercises","LMS service","2026-07-30","passed","2026-07-30","Get entities","Exercises","",""
"","34","Create course","LMS service","2026-07-30","passed","2026-07-30","Create entity","Courses","",""
